fracupperJ1	frequpperJ1
0.9452986	59031
0.9025537	59031.5
1.009008	59032
0.9283621	59032.5
0.8417249	59033
0.9739395	59033.5
1.078478	59034
1.086383	59034.5
1.076527	59035
1.13584	59035.5
1.037036	59036
0.952916	59036.5
0.9531679	59037
1.05906	59037.5
1.114709	59038
1.04774	59038.5
0.9204476	59039
1.032006	59039.5
1.070234	59040
0.9635639	59040.5
0.9568177	59041
1.01506	59041.5
0.9958878	59042
1.033673	59042.5
1.037581	59043
0.9400653	59043.5
1.001683	59044
1.034902	59044.5
1.054427	59045
0.9190534	59045.5
1.08919	59046
0.9878545	59046.5
0.8700427	59047
0.9277953	59047.5
0.9522952	59048
1.050657	59048.5
1.002257	59049
1.045153	59049.5
1.058184	59050
0.9482238	59050.5
0.9821547	59051
0.9851325	59051.5
1.061752	59052
1.056883	59052.5
0.9255896	59053
0.8987908	59053.5
0.9272708	59054
0.8744338	59054.5
1.117511	59055
0.9037404	59055.5
0.9553126	59056
0.9114065	59056.5
0.9103159	59057
0.8934809	59057.5
0.9455639	59058
0.9387016	59058.5
0.933589	59059
1.024608	59059.5
0.9539144	59060
1.063034	59060.5
0.9974039	59061
1.094003	59061.5
0.9153284	59062
0.9506778	59062.5
0.9269643	59063
1.001854	59063.5
0.9755818	59064
0.9546483	59064.5
0.9655814	59065
0.8764663	59065.5
0.9401753	59066
0.9637434	59066.5
0.9784526	59067
0.8739285	59067.5
0.8617322	59068
0.6645577	59068.5
0.5396967	59069
0.4038672	59069.5
0.6337399	59070
0.7673432	59070.5
0.8979511	59071
1.030445	59071.5
1.07567	59072
0.959151	59072.3
0.9449784	59072.4
0.9983598	59072.5
0.8260334	59072.5
0.949016	59072.6
1.010396	59072.7
0.9485313	59073
0.9447994	59073.5
1.077229	59074
0.8951238	59074.5
0.7176738	59075
0.5345934	59075.5
0.5631229	59076
0.7817989	59076.5
0.7839746	59077
0.9761424	59077.5
1.025681	59078
0.9408339	59078.5
0.9481068	59079
0.9962738	59079.5
1.021373	59080
0.9444795	59080.5
0.8920738	59081
0.8210233	59081.5
1.05793	59082
0.9372666	59082.5
0.8307947	59083
0.6318024	59083.5
0.399504	59084
0.4037075	59084.5
0.6627741	59085
0.7468827	59085.5
0.8461207	59086
0.9282137	59086
0.9421984	59086.5
0.9455835	59087
0.9997765	59087.5
0.9641543	59088
0.8625701	59088.5
0.9034184	59089
0.9347301	59089.5
0.9408272	59090
0.8647779	59090.5
0.9383247	59091
0.8880162	59091.5
0.8401958	59092
0.8816532	59092.5
0.8282872	59093
0.8686974	59093.5
0.9794427	59094
1.053377	59094.5
0.9901079	59095
1.072901	59095.5
0.8591169	59096
0.8021141	59096.5
0.5921037	59097
0.4956612	59097.5
0.7916558	59098
0.7845774	59098.5
0.8778625	59099
0.8157277	59099.5
0.9677981	59100
0.7370598	59100.5
0.4901852	59101
0.3713781	59101.5
0.6043525	59102
0.7214061	59102.5
0.6186036	59103
0.7917156	59103.5
0.4888461	59104
0.4147827	59104.5
0.643003	59105
0.7150418	59105.5
0.9949944	59106
0.845877	59106.5
0.9748163	59107
0.9436159	59107.5
0.9688661	59108
0.9889377	59108.5
1.029755	59109
0.9926466	59109.5
0.9886574	59110
0.9477816	59110.5
1.07085	59111
1.023487	59111.5
0.9883727	59112
0.8844689	59112.5
0.9982749	59113
0.9291155	59113.5
1.039205	59114
1.135254	59114.5
0.9025547	59115
0.9472849	59115.5
1.003185	59116
0.974494	59116.5
0.9399985	59117
0.9539845	59117.5
0.8947206	59118
0.9608808	59118.5
1.005708	59119
0.8333746	59119.5
0.99448	59120
