upperJ2data	upperJ2freq
1.004593	59610
0.9326378	59610.5
0.8667493	59611
1.085623	59611.5
0.9946719	59612
1.060617	59612.5
0.9783106	59613
0.9531374	59613.5
0.8716766	59614
0.9324554	59614.5
0.8714508	59615
1.046405	59615.5
0.9635993	59616
1.013286	59616.5
0.9048017	59617
0.928591	59617.5
0.9030195	59618
0.8708609	59618.5
0.9838333	59619
0.8935677	59619.5
0.9099587	59620
0.8101155	59620.5
1.038833	59621
1.025745	59621.5
1.001146	59622
0.951335	59622.5
0.8974755	59623
1.051178	59623.5
0.8948098	59624
1.092057	59624.5
0.9391427	59625
0.9413066	59625.5
0.874729	59626
0.9539323	59626.5
0.9132233	59627
0.984678	59627.5
1.018235	59628
0.9570638	59628.5
0.8358327	59629
0.8946239	59629.5
0.9283574	59630
0.9609442	59630.5
0.9657083	59631
0.9195945	59631.5
0.9309704	59632
0.8772181	59632.2
1.005304	59632.4
1.004395	59632.6
0.8669556	59632.8
0.8396246	59633
0.9572961	59633.2
0.7101622	59633.4
0.8521549	59633.5
0.762097	59633.6
0.721184	59633.7
0.7042667	59633.8
0.6895759	59633.9
0.6979532	59634
0.6275608	59634
0.611748	59634.1
0.6348844	59634.2
0.8203168	59634.4
0.7861562	59634.5
0.9442009	59635
0.9488653	59635.5
0.9883928	59636
0.9624624	59636.5
0.9437714	59637
0.9438756	59637.5
0.9426373	59638
0.9378976	59638.5
0.9441301	59639
0.7621848	59639.5
0.7266074	59640
0.8533444	59640.5
0.7726058	59641
0.7176344	59641.5
0.4754248	59642
0.4023512	59642.5
0.4831086	59643
0.7230393	59643.5
0.7671477	59644
0.7054352	59644.5
0.7545122	59644.5
0.4445779	59645
0.5708111	59645
0.5002569	59645.5
0.6792165	59646
0.8167372	59646.5
0.6745487	59647
0.7607417	59647.5
0.8090017	59648
0.7974189	59648.5
0.7719674	59649
0.8699204	59649.5
0.6969386	59650
0.545189	59650.5
0.3120154	59651
0.2901673	59651.5
0.4952365	59652
0.7561831	59652.5
0.692062	59653
0.8458804	59653.5
0.6914022	59654
0.4350607	59654.5
0.5307735	59655
0.7562427	59655.5
0.9281669	59656
0.9511155	59656.5
0.8580512	59657
0.697974	59657.5
0.4952732	59658
0.50058	59658.5
0.7529443	59659
0.6671443	59659.5
0.7399348	59660
0.608282	59660.5
0.5744378	59660.5
0.6166685	59661
0.8003918	59661.5
0.8934248	59662
0.9577295	59662.5
0.9569691	59663
0.9882675	59663.5
1.037219	59664
0.8435344	59664
0.9895893	59664.5
0.9801386	59664.5
0.8850428	59665
1.016205	59665
1.036398	59665.5
0.9263268	59665.5
0.9898648	59666
0.9721327	59666
0.9113599	59666.5
0.9324648	59666.5
0.8773385	59667
1.000895	59667
0.8030638	59667.5
0.9121369	59667.5
0.9301271	59668
0.8036618	59668
0.9474937	59668
0.9116777	59668.5
0.9368494	59668.5
0.9759416	59669
0.9124155	59669
0.9600428	59669.5
0.8994824	59669.5
1.024354	59670
0.9531608	59670
1.068259	59670.5
0.9323521	59670.5
1.119439	59671
0.8679146	59671
0.9211422	59671.5
0.8014983	59671.5
0.9645425	59672
0.8652389	59672
0.9602417	59672.5
0.8942664	59672.5
0.9518276	59672.5
0.9472932	59673
0.9260134	59673
0.7532182	59673
1.065518	59673.5
0.861967	59673.5
0.9416845	59673.5
1.026687	59674
0.7876427	59674
0.9192048	59674.5
0.885874	59674.5
0.9055349	59675
0.9842727	59675
0.9393705	59675.5
0.9163182	59676
0.9110259	59676.5
0.9281616	59677
0.7726067	59677
0.8404515	59677.5
0.9505497	59678
0.9037684	59678.5
0.8807625	59679
1.030238	59679.5
1.050596	59680
